Qualifying Name,Name of Area,FIPS,Nation,State,County,Total Population (2019 est.),Total Violent and Property Crimes,Total Violent and Property Crimes: Violent Crimes,Total Violent and Property Crimes: Property Crimes,% Total Violent and Property Crimes: Violent Crimes,% Total Violent and Property Crimes: Property Crimes,Total Violent and Property Crimes Rate,Total Violent and Property Crimes Rate: Violent Crimes Rate,Total Violent and Property Crimes Rate: Property Crimes Rate,Total Violent Crimes ,Total Violent Crimes: Murders and Nonnegligent Manslaughters,Total Violent Crimes: Rape Revised Definition,Total Violent Crimes: Rape Legacy Definition,Total Violent Crimes: Robberies,Total Violent Crimes: Aggravated Assaults,Total Violent Crimes Rate,Total Violent Crimes Rate: Murders and Nonnegligent Manslaughters Rate,Total Violent Crimes Rate: Rape Revised Definition Rate,Rape Legacy Definition Rate,Total Violent Crimes Rate: Robberies Rate,Total Violent Crimes Rate: Aggravated Assaults Rate,Total Property Crimes,Total Property Crimes: Burglaries,Total Property Crimes: Larcenies,Total Property Crimes: Motor Vehicle Thefts,Total Property Crimes Rate,Total Property Crimes Rate: Burglaries Rate,Total Property Crimes Rate: Larcenies Rate,Total Property Crimes Rate: Motor Vehicle Thefts Rate,Arsons,Arsons Rate,Total Number of Hate Crime Reported:,"Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:",Total Number of Hate Crimes with an Anti-Religion Bias Reported:,Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:,Total Number of Hate Crimes with an Anti-Disability Bias Reported:,Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:,"% Total Number of Hate Crimes with an Anti-Race, Anti-Ethnicity, Anti-Ancestry Bias Reported:",% Total Number of Hate Crimes with an Anti-Religion Bias Reported:,% Total Number of Hate Crimes with an Anti-Sexual Orientation Bias Reported:,% Total Number of Hate Crimes with an Anti-Disability Bias Reported:,% Total Number of Hate Crimes with an Anti-Gender and Anti-Gender Identity Bias Reported:,"Total Number of Hate Crime Reported (Rate per 100,000 Population):","Anti-Race, Anti-Ethnicity, Anti-Ancestry Rate:",Anti-Religion Rate:,Anti-Sexual Orientation Rate:,Anti-Disability Rate:,Anti-Gender and Anti-Gender Rate:
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,PCT_SE_T002_002,PCT_SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,PCT_SE_T010_002,PCT_SE_T010_003,PCT_SE_T010_004,PCT_SE_T010_005,PCT_SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"San Diego County, California",San Diego County,6073,0,6,73,3338330,5799,1499,4300,25.85,74.15,173.7096093,44.90269087,128.8069184,1499,10,104,,224,1161,44.90269087,0.299550973,3.11533012,,6.709941797,34.77786798,4300,901,2498,901,128.8069184,26.98954268,74.82783308,26.98954268,30,0.898652919,,,,,,,,,,,,,,,,,
"San Francisco County, California",San Francisco County,6075,0,6,75,881549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Joaquin County, California",San Joaquin County,6077,0,6,77,762148,3342,903,2439,27.02,72.98,438.4975097,118.480925,320.0165847,903,5,35,,162,701,118.480925,0.656040559,4.592283913,,21.25571411,91.97688638,2439,719,1589,131,320.0165847,94.33863239,208.4896897,17.18826265,24,3.148994683,,,,,,,,,,,,,,,,,
"San Luis Obispo County, California",San Luis Obispo County,6079,0,6,79,283111,1144,181,963,15.82,84.18,404.0817912,63.93252117,340.1492701,181,5,26,,5,145,63.93252117,1.766091745,9.183677074,,1.766091745,51.2166606,963,331,614,18,340.1492701,116.9152735,216.8760663,6.357930282,7,2.472528443,,,,,,,,,,,,,,,,,
"San Mateo County, California",San Mateo County,6081,0,6,81,766573,3569,324,3245,9.08,90.92,465.5786207,42.26603337,423.3125873,324,3,71,,62,188,42.26603337,0.391352161,9.26200114,,8.087944658,24.52473541,3245,297,2612,336,423.3125873,38.74386392,340.7372814,43.83144202,5,0.652253601,,,,,,,,,,,,,,,,,
"Santa Barbara County, California",Santa Barbara County,6083,0,6,83,446499,1489,232,1257,15.58,84.42,333.4833897,51.95980282,281.5235868,232,2,17,,26,187,51.95980282,0.447929335,3.807399345,,5.823081351,41.88139279,1257,305,938,14,281.5235868,68.30922354,210.078858,3.135505343,8,1.791717339,,,,,,,,,,,,,,,,,
"Santa Clara County, California",Santa Clara County,6085,0,6,85,1927852,1874,356,1518,19,81,97.20663204,18.46614782,78.74048423,356,2,40,,25,289,18.46614782,0.103742403,2.074848069,,1.296780043,14.9907773,1518,178,1154,186,78.74048423,9.233073908,59.8593668,9.648043522,4,0.207484807,,,,,,,,,,,,,,,,,
"Santa Cruz County, California",Santa Cruz County,6087,0,6,87,273213,1961,331,1630,16.88,83.12,717.7550117,121.1508969,596.6041147,331,5,58,,34,234,121.1508969,1.830073972,21.22885807,,12.44450301,85.64746187,1630,439,1174,17,596.6041147,160.6804947,429.7013685,6.222251503,7,2.56210356,,,,,,,,,,,,,,,,,
"Shasta County, California",Shasta County,6089,0,6,89,180080,1210,386,824,31.9,68.1,671.9235895,214.3491781,457.5744114,386,4,41,,34,307,214.3491781,2.221235007,22.76765882,,18.88049756,170.4797868,824,415,332,77,457.5744114,230.4531319,184.3625056,42.75877388,12,6.66370502,,,,,,,,,,,,,,,,,
"Sierra County, California",Sierra County,6091,0,6,91,3005,32,1,31,3.12,96.88,1064.891847,33.27787022,1031.613977,1,0,0,,0,1,33.27787022,0,0,,0,33.27787022,31,15,16,0,1031.613977,499.1680532,532.4459235,0,0,0,,,,,,,,,,,,,,,,,
"Siskiyou County, California",Siskiyou County,6093,0,6,93,43539,216,70,146,32.41,67.59,496.1069386,160.7753968,335.3315418,70,5,2,,2,61,160.7753968,11.48395691,4.593582765,,4.593582765,140.1042743,146,69,69,8,335.3315418,158.4786054,158.4786054,18.37433106,1,2.296791382,,,,,,,,,,,,,,,,,
"Solano County, California",Solano County,6095,0,6,95,447643,486,109,377,22.43,77.57,108.5686585,24.34976086,84.21889765,109,1,13,,18,77,24.34976086,0.223392301,2.904099919,,4.021061426,17.20120721,377,110,192,75,84.21889765,24.57315316,42.89132188,16.75442261,7,1.56374611,,,,,,,,,,,,,,,,,
"Sonoma County, California",Sonoma County,6097,0,6,97,494336,1586,497,1089,31.34,68.66,320.8344122,100.5389047,220.2955075,497,1,45,,36,415,100.5389047,0.202291559,9.103120145,,7.282496116,83.95099689,1089,350,733,6,220.2955075,70.80204557,148.2797126,1.213749353,22,4.450414293,,,,,,,,,,,,,,,,,
"Stanislaus County, California",Stanislaus County,6099,0,6,99,550660,1972,370,1602,18.76,81.24,358.1157157,67.19209676,290.9236189,370,8,17,,90,255,67.19209676,1.452802092,3.087204446,,16.34402354,46.30806668,1602,559,1000,43,290.9236189,101.5145462,181.6002615,7.808811245,13,2.3608034,,,,,,,,,,,,,,,,,
"Sutter County, California",Sutter County,6101,0,6,101,96971,653,77,576,11.79,88.21,673.3972012,79.40518299,593.9920182,77,1,4,,13,59,79.40518299,1.031236143,4.124944571,,13.40606986,60.84293242,576,167,350,59,593.9920182,172.2164358,360.93265,60.84293242,1,1.031236143,,,,,,,,,,,,,,,,,
"Tehama County, California",Tehama County,6103,0,6,103,65084,567,95,472,16.75,83.25,871.1818573,145.9652142,725.2166431,95,2,14,,12,67,145.9652142,3.072951878,21.51066314,,18.43771127,102.9438879,472,179,278,15,725.2166431,275.029193,427.140311,23.04713908,0,0,,,,,,,,,,,,,,,,,
"Trinity County, California",Trinity County,6105,0,6,105,12285,251,61,190,24.3,75.7,2043.142043,496.5404965,1546.601547,61,2,10,,9,40,496.5404965,16.28001628,81.4000814,,73.26007326,325.6003256,190,83,101,6,1546.601547,675.6206756,822.1408221,48.84004884,2,16.28001628,,,,,,,,,,,,,,,,,
"Tulare County, California",Tulare County,6107,0,6,107,466195,2227,334,1893,15,85,477.697101,71.64384002,406.053261,334,9,30,,64,231,71.64384002,1.930522635,6.435075451,,13.72816096,49.55008097,1893,637,1254,2,406.053261,136.6381021,268.9861539,0.42900503,0,0,,,,,,,,,,,,,,,,,
"Tuolumne County, California",Tuolumne County,6109,0,6,109,54478,838,169,669,20.17,79.83,1538.235618,310.2169683,1228.01865,169,2,62,,7,98,310.2169683,3.671206726,113.8074085,,12.84922354,179.8891296,669,306,355,8,1228.01865,561.694629,651.6391938,14.6848269,6,11.01362018,,,,,,,,,,,,,,,,,
"Ventura County, California",Ventura County,6111,0,6,111,846006,702,159,543,22.65,77.35,82.97813491,18.79419295,64.18394196,159,5,18,,25,111,18.79419295,0.591012357,2.127644485,,2.955061784,13.12047432,543,112,363,68,64.18394196,13.23867679,42.90749711,8.037768054,13,1.536632128,,,,,,,,,,,,,,,,,
"Yolo County, California",Yolo County,6113,0,6,113,220500,363,69,294,19.01,80.99,164.6258503,31.29251701,133.3333333,69,0,8,,6,55,31.29251701,0,3.628117914,,2.721088435,24.94331066,294,79,204,11,133.3333333,35.8276644,92.5170068,4.988662132,1,0.453514739,,,,,,,,,,,,,,,,,
"Yuba County, California",Yuba County,6115,0,6,115,78668,1051,204,847,19.41,80.59,1335.994305,259.3176387,1076.676666,204,5,21,,37,141,259.3176387,6.355824478,26.69446281,,47.03310113,179.2342503,847,316,520,11,1076.676666,401.688107,661.0057457,13.98281385,11,13.98281385,,,,,,,,,,,,,,,,,
